Report 1: Filtered Data for Report2.xlsx
Table: Transactions with 1.8 to <2 seconds

Table: Transactions with >=2 seconds

Report 2: Filtered Data for Report5.xlsx
Table: Transactions with 1.8 to <2 seconds
Transaction1,1.92
Transaction3,1.89
Transaction4,1.84
Transaction5,1.88

Table: Transactions with >=2 seconds
Transaction2,2.12
Transaction8,3.76
Transaction9,2.34
Transaction13,2.89

Report 3: Filtered Data for Report3.xlsx
Table: Transactions with 1.8 to <2 seconds
Transaction10,1.9
Transaction12,1.87

Table: Transactions with >=2 seconds
Transaction2,2.89
Transaction8,3.76
Transaction9,2.34
Transaction13,2.89

Report 4: Filtered Data for Report4.xlsx
Table: Transactions with 1.8 to <2 seconds
Transaction3,1.89
Transaction4,1.86
Transaction10,1.95
Transaction12,1.86

Table: Transactions with >=2 seconds
Transaction2,2.12
Transaction8,3.76
Transaction9,2.34
Transaction13,2.89

Report 5: Filtered Data for Report1.xlsx
Table: Transactions with 1.8 to <2 seconds
Transaction1,1.88
Transaction3,1.89
Transaction10,1.95
Transaction12,1.86

Table: Transactions with >=2 seconds
Transaction2,2.12
Transaction8,3.76
Transaction9,2.34
Transaction13,2.89

